Name,Tot. Statements,Tot. Branches,Deployed,Avg. Test Case Length,Branches Covered,Generations,Blockchain Time,Offchain Time,Total Time,Branch %
BasicToken,11,8,0,2.75,8.0,1,66.020716,18.919137000000006,84.939853,1.0
Greeter2,13,60,0,6.333333333333333,60.0,1,136.059959,66.590306,202.650265,1.0
Greeter,15,81,0,7.567901234567901,81.0,1,116.736032,56.86778000000001,173.603812,1.0
SecureAuction,11,6,1,3.8333333333333335,6.0,1,78.524688,17.852462000000003,96.37715,1.0
LotteryFor10,45,44,1,4.883720930232558,43.0,101,8959.817593,2375.029990000001,11334.847583,0.9772727272727273
GuessTheNumberChallenge,6,8,0,17.125,8.0,2,47.273733,13.063816000000003,60.337549,1.0
SecureAuction,11,6,1,3.8333333333333335,6.0,1,73.508075,18.333545,91.84162,1.0
PermissionGroups,58,86,1,5.238095238095238,84.0,101,12277.727925,3384.5458240000007,15662.273749,0.9767441860465116
LotteryMultipleWinners,31,45,0,5.0227272727272725,44.0,101,7518.169245,2005.480353,9523.649598,0.9777777777777777
EasyPayAndWithDraw,7,8,0,2.0,6.0,101,6779.56132,1087.730466,7867.291786,0.75
EIP20StandardToken,24,13,1,6.0,13.0,1,75.421614,26.313991,101.735605,1.0
VulnerableTwoStep,11,10,0,4.3,10.0,1,58.737033,12.177406000000005,70.914439,1.0
AddressBook,19,54,0,7.722222222222222,54.0,1,198.691656,82.57402499999998,281.265681,1.0
Greeter3,15,73,0,8.657534246575343,73.0,2,340.999405,159.74136099999998,500.740766,1.0
Greeter3,15,73,0,9.383561643835616,73.0,1,107.161307,46.244674,153.405981,1.0
VulnerableTwoStep,11,10,0,4.8,10.0,1,58.844617,11.732197,70.576814,1.0
EIP20StandardToken,24,13,1,4.461538461538462,13.0,1,77.717029,26.367316000000002,104.084345,1.0
EasyPayAndWithDraw,7,8,0,2.0,6.0,101,6645.808789,1071.381128,7717.189917,0.75
LotteryMultipleWinners,31,45,0,5.45,40.0,101,7572.925996,2014.4020999999993,9587.328096,0.8888888888888888
PermissionGroups,58,86,1,8.373493975903614,83.0,101,12574.884574,3461.818424000001,16036.702998,0.9651162790697675
VulnerableTwoStep,11,10,0,4.7,10.0,1,62.062603,12.130069999999996,74.192673,1.0
LotteryMultipleWinners,31,45,0,8.045454545454545,44.0,101,7551.462147,1999.5775780000004,9551.039725,0.9777777777777777
Gift_1_ETH,18,18,1,2.0,14.0,101,7611.742254,1659.8162029999994,9271.558457,0.7777777777777778
SecureAuction,11,6,1,3.0,6.0,1,59.189281,13.683641000000001,72.872922,1.0
FundRaising,23,21,0,8.285714285714286,21.0,1,65.185438,20.674330999999995,85.859769,1.0
BasicToken,11,8,0,4.0,8.0,1,73.769664,21.447813999999994,95.217478,1.0
FundRaising,23,21,0,5.619047619047619,21.0,1,60.905442,18.270062000000003,79.175504,1.0
Gift_1_ETH,18,18,1,2.0,14.0,101,7887.224136,1730.5546509999995,9617.778787,0.7777777777777778
PermissionGroups,58,86,1,6.0843373493975905,83.0,101,12235.832721,3353.31444,15589.147161,0.9651162790697675
LotteryMultipleWinners,31,45,0,9.613636363636363,44.0,101,7632.398171,2037.257340000001,9669.655511,0.9777777777777777
EasyPayAndWithDraw,7,8,0,2.0,6.0,101,6896.412923,1118.9328560000004,8015.345779,0.75
EIP20StandardToken,24,13,1,5.846153846153846,13.0,1,80.757312,28.237910999999997,108.995223,1.0
VulnerableTwoStep,11,10,0,4.2,10.0,1,55.598414,11.708920999999997,67.307335,1.0
Greeter3,15,73,0,7.931506849315069,73.0,2,357.823826,169.051266,526.875092,1.0
AddressBook,19,54,0,12.407407407407407,54.0,1,188.329298,78.01379100000003,266.343089,1.0
IdentityManager,49,90,1,3.5272727272727273,55.0,101,8758.074665,2784.1252010000007,11542.199866,0.6111111111111112
VulnerableTwoStep,11,10,0,6.2,10.0,1,59.308195,12.213082999999997,71.521278,1.0
Greeter,15,81,0,7.111111111111111,81.0,1,114.317819,52.621533000000014,166.939352,1.0
PermissionGroups,58,86,1,7.178571428571429,84.0,101,12521.890468,3438.51534,15960.405808,0.9767441860465116
GuessTheNumberChallenge,6,8,0,10.5,8.0,3,66.378855,15.035787999999997,81.414643,1.0
LotteryFor10,45,44,1,4.4186046511627906,43.0,101,9008.158518,2412.549115,11420.707633,0.9772727272727273
Gift_1_ETH,18,18,1,2.0,14.0,101,7817.233852,1705.0820570000005,9522.315909,0.7777777777777778
TestDateTime,160,252,1,2.1708333333333334,240.0,101,21382.147135,13157.932152000001,34540.079287,0.9523809523809523
MultiSigWallet (2),59,83,0,7.934210526315789,76.0,101,7765.25106,2008.0525540000008,9773.303614,0.9156626506024096
MultiSigWallet (2),59,83,0,7.5131578947368425,76.0,101,7675.920261,1951.981095,9627.901356,0.9156626506024096
Randomness,22,17,0,2.8125,16.0,101,7462.529244,1476.7980290000005,8939.327273,0.9411764705882353
TestDateTime,160,252,1,2.129166666666667,240.0,101,21230.334311,12922.400774000002,34152.735085,0.9523809523809523
Gift_1_ETH,18,18,1,2.0,14.0,101,7621.284533,1635.6038480000007,9256.888381,0.7777777777777778
LotteryFor10,45,44,1,4.046511627906977,43.0,101,8945.251179,2371.859506999999,11317.110686,0.9772727272727273
PermissionGroups,58,86,1,5.578313253012048,83.0,101,12386.284341,3414.105522,15800.389863,0.9651162790697675
GuessTheNumberChallenge,6,8,0,5.0,8.0,1,23.783703,10.607845000000001,34.391548,1.0
Greeter,15,81,0,5.950617283950617,81.0,2,215.793358,96.91666099999998,312.710019,1.0
EtherBank,13,17,0,2.5714285714285716,14.0,101,1750.188129,238.7965630000001,1988.984692,0.8235294117647058
VulnerableTwoStep,11,10,0,4.7,10.0,1,62.637381,12.941825000000001,75.579206,1.0
BadAuction,7,7,0,3.142857142857143,7.0,1,75.730969,14.105462000000003,89.836431,1.0
AddressBook,19,54,0,15.148148148148149,54.0,1,232.453162,100.92668,333.379842,1.0
AddressBook,19,54,0,9.185185185185185,54.0,2,399.322243,167.50649700000002,566.82874,1.0
Greeter3,15,73,0,8.452054794520548,73.0,1,181.912801,89.62196599999999,271.534767,1.0
IdentityManager,49,90,1,3.3636363636363638,55.0,101,8790.434601,2823.832914999999,11614.267516,0.6111111111111112
EasyPayAndWithDraw,7,8,0,2.0,6.0,101,6907.317083,1129.05944,8036.376523,0.75
EtherBank,13,17,0,2.5714285714285716,14.0,101,1815.170053,247.26476900000011,2062.434822,0.8235294117647058
GuessTheNumberChallenge,6,8,0,15.25,8.0,1,40.92521,13.567521999999997,54.492732,1.0
Gift_1_ETH,18,18,1,2.0,14.0,101,7731.329364,1723.230849999999,9454.560214,0.7777777777777778
LotteryFor10,45,44,1,4.209302325581396,43.0,101,8967.259718,2385.275745000001,11352.535463,0.9772727272727273
MultiSigWallet (2),59,83,0,7.214285714285714,70.0,101,7705.490596,1962.1087430000007,9667.599339,0.8433734939759037
TestDateTime,160,252,1,2.1416666666666666,240.0,101,22283.470193,13351.059330999997,35634.529524,0.9523809523809523
LotteryFor10,45,44,1,4.4186046511627906,43.0,101,9123.073102,2427.4809910000004,11550.554093,0.9772727272727273
Gift_1_ETH,18,18,1,2.0,14.0,101,7641.946637,1698.8138790000003,9340.760516,0.7777777777777778
GuessTheNumberChallenge,6,8,0,12.875,8.0,1,42.676839,14.083666999999998,56.760506,1.0
Greeter,15,81,0,6.1234567901234565,81.0,2,219.466713,93.102859,312.569572,1.0
EtherBank,13,17,0,2.5714285714285716,14.0,101,1724.460204,230.30866400000014,1954.768868,0.8235294117647058
EasyPayAndWithDraw,7,8,0,2.0,6.0,101,6777.413223,1107.7638100000004,7885.177033,0.75
IdentityManager,49,90,1,2.8545454545454545,55.0,101,8649.514915,2790.0286890000007,11439.543604,0.6111111111111112
DosAuction,7,7,1,3.0,7.0,1,57.361518,10.006143999999999,67.367662,1.0
Greeter3,15,73,0,11.054794520547945,73.0,1,189.193743,88.23986299999999,277.433606,1.0
AddressBook,19,54,0,7.537037037037037,54.0,2,372.717859,152.21421700000008,524.932076,1.0
IdentityManager,49,90,1,3.290909090909091,55.0,101,8744.825433,2774.884951,11519.710384,0.6111111111111112
Greeter,15,81,0,6.135802469135802,81.0,2,214.677489,98.96188900000001,313.639378,1.0
LotteryMultipleWinners,31,45,0,7.0,44.0,101,7563.874841,2010.646447,9574.521288,0.9777777777777777
EtherBank,13,17,0,2.4285714285714284,14.0,101,1642.268136,220.71195699999998,1862.980093,0.8235294117647058
Gift_1_ETH,18,18,1,2.0,14.0,101,7551.385409,1626.5915379999988,9177.976947,0.7777777777777778
GuessTheNumberChallenge,6,8,0,14.5,8.0,1,29.153392,4.7319759999999995,33.885368,1.0
MultiSigWallet (2),59,83,0,6.315068493150685,73.0,101,7714.264715,1980.9609420000006,9695.225657,0.8795180722891566
FundRaising,23,21,0,4.666666666666667,21.0,1,67.722992,21.62964799999999,89.35264,1.0
